Status,Page Type,Section,Entity + Attribute,URL (.html flat),Live URL,Primary Keyword,"Vol (KE, UK)",KE Comp,CPC (GBP),"Keyword Cluster (Vol = Keywords Everywhere, UK)",Page Purpose,Priority,Phase,Internal Links TO,Internal Links FROM,Notes
🔲 TO BUILD,Sector,Core,IT Disposal for the Public Sector,/it-disposal-public-sector.html,,public sector it disposal,<10,,,"government it disposal (0), council it disposal, audit trail, gdpr compliance","Public-sector page - councils and government bodies, fully auditable workflows, complete audit trails, GDPR.",P2,3,"IT asset disposal, NHS page, data destruction, free collection","Homepage, IT asset disposal page","No measurable volume. High contract value, procurement-led. Constructionline / audit-trail trust signals."

🔲 TO BUILD,Sector,Core,IT Disposal for the NHS & Healthcare,/it-disposal-nhs-healthcare.html,,nhs it disposal,10,0.86,,"healthcare it disposal, patient data destruction, medical device recycling","Healthcare page - patient data compliance, enhanced data destruction, medical device handling.",P3,4,"IT asset disposal, data destruction, public sector page, GDPR guide","Homepage, public sector page","Tiny volume, very high contract value. Sub-sector of public sector."

OUTER AUTHORITY CONTENT  (guides + blog),,,,,,,,,,,,,,,,

🔲 TO BUILD,Guide,Outer,Waste Transfer Notes for IT Equipment - UK Guide,/waste-transfer-notes-it-equipment.html,,waste transfer note,2400,1,0.73,"duty of care waste transfer note, waste transfer note requirements, what is a waste transfer note, annual waste transfer note","Guide to WTNs for IT/e-waste - legal duty of care, what a compliant note contains, how Clearcycle issues one per collection.",P2,3,"WEEE recycling, IT asset disposal, WEEE regs guide","WEEE page, IT asset disposal page","Largest single authority term in the niche (2,400). KE competition high - it is a head info term - but huge top-of-funnel + duty-of-care trust."

🔲 TO BUILD,Guide,Outer,WEEE Regulations for Businesses - Compliance Guide,/weee-regulations-for-business.html,,weee regulations for business,30,0.23,0.86,"weee recycling (1900 supporting), weee disposal (1900), producer obligations, business duty, penalties","WEEE compliance pillar - producer/business obligations, penalties, how ITAD keeps you compliant.",P2,3,"WEEE recycling, IT equipment recycling, waste transfer notes guide, IT asset disposal","WEEE page, IT recycling page",Supports the 1900-vol WEEE cluster as authority/internal-link hub.

🔲 TO BUILD,Guide,Outer,What Is IT Asset Disposal? Complete UK Guide,/what-is-it-asset-disposal.html,,what is it asset disposal,<10,,,"what is itad, itad meaning, it asset disposition, the itad process","Pillar guide - defines ITAD and the process, links hub out to every core service page.",P2,3,"IT asset disposal, data destruction, IT equipment recycling, WEEE recycling, hard drive destruction",IT asset disposal page,No measurable volume but the semantic anchor that ties the core cluster together.

🔲 TO BUILD,Guide,Outer,Certificate of Data Destruction Explained,/certificate-of-data-destruction.html,,certificate of data destruction,260,0.05,1.98,"data destruction certificate (260, same group), certificate of destruction contents, why you need a CoD","Explains the CoD - what it must contain, why businesses need one, how Clearcycle issues one per serial.",P3,4,"Secure data destruction, hard drive destruction, GDPR guide","Data destruction page, HDD page",~260 cluster at very low KE competition. Strong trust + ranking opportunity.

🔲 TO BUILD,Guide,Outer,How to Securely Destroy a Hard Drive - Methods Compared,/how-to-destroy-a-hard-drive.html,,how to destroy a hard drive,390,0.12,0.49,"hard drive shredding, degaussing vs shredding, blancco wiping, crushing",Method-comparison guide - funnels 'how to' traffic to the HDD destruction service page.,P3,4,"Hard drive destruction page, data destruction page","HDD page, data destruction page",390 info traffic at low KE competition. Informational funnel.

🔲 TO BUILD,Guide,Outer,GDPR & Data Destruction Requirements,/gdpr-data-destruction.html,,gdpr data destruction,10,0.36,1.04,"data destruction policy, article 17, processor obligations, data bearing devices","GDPR compliance guide for data disposal - Article 17, documentation, processor duties.",P3,4,"Data destruction, hard drive destruction, certificate of destruction guide","Data destruction page, IT asset disposal page",Trust signal - positions Clearcycle as the compliance expert.

🔲 TO BUILD,Guide,Outer,How Much Does IT Asset Disposal Cost?,/it-asset-disposal-cost.html,,it asset disposal cost,<10,,,"it disposal cost, hard drive shredding cost, free collection model","Pricing/transparency guide - the free-for-10+-items model, what affects cost, hidden costs of DIY disposal.",P3,4,"IT asset disposal, free collection, hard drive destruction","IT asset disposal page, free collection page",Bottom-of-funnel. Reinforces 'free when you have 10+ major items'.

🔲 TO BUILD,Guide,Outer,IT Asset Disposal Policy Template - Free Download,/it-asset-disposal-policy-template.html,,it asset disposal policy,10,0.57,,"data destruction policy, it disposal policy template",Downloadable policy template - lead magnet for B2B prospects who need a disposal partner.,P4,5,"IT asset disposal, GDPR guide, WEEE regs guide",IT asset disposal page,Email-capture lead magnet.

🔲 TO BUILD,Blog,Outer,Windows 10 End of Support: What to Do With Old Business PCs,/blog/windows-10-end-of-support-pc-disposal.html,,windows 10 end of support disposal,<10,,,"windows 10 end of life, pc refresh disposal, bulk pc disposal",Trigger-event content - the Win10 EOL hardware-refresh wave drives bulk disposal demand. Maps directly to the 10+ item buyer.,P3,4,"IT asset disposal, IT equipment recycling, corporate page, free collection","IT asset disposal page, corporate page",Timely demand driver tied to the refresh wave flagged in prospecting work.

🔲 TO BUILD,Blog,Outer,"The Risks of Improper IT Disposal - Fines, Breaches & Liability",/blog/risks-of-improper-it-disposal.html,,risks of improper it disposal,<10,,,"ico fines it disposal, data breach disposal, duty of care liability","Fear/urgency content - ICO fines, breach case studies, duty-of-care liability.",P4,5,"IT asset disposal, data destruction, GDPR guide, WEEE regs guide","IT asset disposal page, data destruction page",Trust/urgency - good for remarketing and link bait.

🔲 TO BUILD,Blog,Outer,IT Asset Disposal vs IT Recycling - What's the Difference?,/blog/it-asset-disposal-vs-it-recycling.html,,it disposal vs recycling,<10,,,"disposal vs recycling, what is the difference","Clarification piece - explains the distinction, bridges the two core clusters.",P4,5,"IT asset disposal, IT equipment recycling","IT asset disposal page, IT recycling page",Semantic bridge between the two core service pages.

LOCATION PAGES  (thin volume + DR0 - later phases; EACH needs unique per-city research and the mandatory cross-page similarity check before delivery - no templated town-swapping),,,,,,,,,,,,,,,,

📋 PLANNED,Location,Outer,IT Asset Disposal & Recycling in London,/it-asset-disposal-london.html,,it recycling london,140,0.45,2.69,"weee recycling london (90), it asset disposal london (10)",London area page - local relevance for the highest-volume city in the named coverage list.,P4,5,"IT asset disposal, WEEE recycling, free collection","Homepage, IT asset disposal page",~240 combined. Only build with unique local content + cross-page diff check. London is the strongest city signal.

📋 PLANNED,Location,Outer,IT Asset Disposal & Recycling in Manchester,/it-asset-disposal-manchester.html,,it recycling manchester,20,0.07,1.82,it asset disposal manchester (10),Manchester area page - supported by the live Manchester school case study.,P4,5,"IT asset disposal, schools page, free collection","Homepage, schools page",Thin volume; justified mainly by the existing Manchester case study. Unique content + cross-page check required.

SUPPORTING / TRUST PAGES (live),,,,,,,,,,,,,,,,

✅ PUBLISHED,Trust,Core,About Clearcycle IT,/about.html,https://clearcycleit.co.uk/about.html,clearcycle it (brand),,,,"company background, team, accreditations, ISO 27001/14001/9001","E-E-A-T page - who we are, accreditations, security promise.",P0,1,"IT asset disposal, contact","Homepage, footer",Live. Ensure ISO/licence claims are accurate per earlier compliance flag.

✅ PUBLISHED,Conversion,Core,Contact / Book Collection,/contact.html,https://clearcycleit.co.uk/contact.html,book it collection,,,,"book collection, request quote, eligibility",Primary conversion page - booking form + eligibility (10-item) checker.,P0,1,Free collection,All pages (CTA),Live.

✅ PUBLISHED,Proof,Outer,"Case Studies (Manchester school, London corporate, +)",/[case-study].html,https://clearcycleit.co.uk/manchester-school-ict-refresh.html,case study (brand/long-tail),,,,"school ict refresh, corporate relocation it clearance",Success-story pages - sector proof and E-E-A-T. Internal-link into matching sector pages.,P1,2,"Schools page, corporate page, IT asset disposal","Homepage, sector pages",Live. Link each case study into its sector page.
✅ PUBLISHED,Guide,Outer,On-Site vs Off-Site Hard Drive Shredding,/onsite-vs-offsite-hard-drive-shredding.html,https://clearcycleit.co.uk/onsite-vs-offsite-hard-drive-shredding.html,onsite vs offsite hard drive shredding,110,Low,,onsite vs offsite hard drive shredding,Compare security risks and auditing trails,P2,Phase 2,,,Newly built long-form informational guide
✅ PUBLISHED,Guide,Outer,School Computer Recycling & Compliance Guide,/school-computer-recycling-compliance.html,https://clearcycleit.co.uk/school-computer-recycling-compliance.html,school computer recycling compliance,50,Low,,school computer recycling compliance,Guide for School Business Managers on WEEE compliance,P2,Phase 2,,,Newly built long-form educational guide
✅ PUBLISHED,Guide,Outer,Understanding WEEE Duty of Care Regulations,/weee-duty-of-care-regulations.html,https://clearcycleit.co.uk/weee-duty-of-care-regulations.html,WEEE duty of care regulations,140,Low,,WEEE duty of care regulations,Walkthrough of WEEE environmental liabilities and Waste Transfer Notes,P2,Phase 2,,,Newly built long-form compliance guide
